molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL231091,N[C@H]1CN(c2nccc3ccccc23)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,3700.0,471.40100000000007,5.431798275933005
CHEMBL231092,N[C@H]1CN(c2ccc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,7.0,473.37700000000007,8.154901959985743
CHEMBL23110,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,IC50,nM,55.0,401.4040000000001,7.259637310505756
CHEMBL231117,C[C@@H]1C(=O)N(CCO)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,15.1,387.40200000000004,7.82102305270683
CHEMBL231151,CN(C)C(=O)[C@H](c1ccc(-c2ccc(F)cc2)cc1)[C@@H](N)C(=O)N1CC[C@H](F)C1,IC50,nM,1460.0,401.45700000000016,5.835647144215563
CHEMBL231194,N[C@H]1CN(c2cnc3cccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,130.0,473.37700000000007,6.886056647693163
CHEMBL231195,N[C@H]1CN(c2cnc3cncnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,43.0,474.36500000000007,7.366531544420414
CHEMBL231196,N[C@H]1CN(c2cnc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,13.0,474.36500000000007,7.886056647693163
CHEMBL231293,N[C@H]1CN(c2ccc3nc(C(F)(F)F)nn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,5.0,530.3510000000002,8.301029995663981
CHEMBL231294,N[C@H]1CN(c2ccn3cnnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,26.0,462.35400000000004,7.585026652029182
